name,faction,parent,branch,gen
CONTROLBAR:ConstructRohanFarm,rohan,,basic,0
CONTROLBAR:ConstructRohanPeasant,rohan,CONTROLBAR:ConstructRohanFarm,basic,1
CONTROLBAR:RepairStructure,rohan,CONTROLBAR:ConstructRohanPeasant,basic,2
CONTROLBAR:PurchaseUpgradeRohanForgedBlades,rohan,CONTROLBAR:ConstructRohanPeasant,basic,2
CONTROLBAR:PurchaseUpgradeRohanHeavyArmor,rohan,CONTROLBAR:ConstructRohanPeasant,basic,2
CONTROLBAR:PurchaseUpgradeRohanBasicTraining,rohan,CONTROLBAR:ConstructRohanPeasant,basic,2
CONTROLBAR:ConstructRohanArcherRange,rohan,,basic,0
CONTROLBAR:ConstructRohanArcherHorde,rohan,CONTROLBAR:ConstructRohanArcherRange,basic,1
CONTROLBAR:ToggleSkirmishFormation,rohan,CONTROLBAR:ConstructRohanArcherHorde,basic,2
CONTROLBAR:ToggleLineFormation,rohan,CONTROLBAR:ConstructRohanArcherHorde,basic,2
CONTROLBAR:PurchaseUpgradeRohanHeavyArmor,rohan,CONTROLBAR:ConstructRohanArcherHorde,basic,2
CONTROLBAR:FireArrowUpgrade,rohan,CONTROLBAR:ConstructRohanArcherHorde,basic,2
CONTROLBAR:PurchaseUpgradeRohanBasicTraining,rohan,CONTROLBAR:ConstructRohanArcherHorde,basic,2
CONTROLBAR:ConstructElvenWarriorHorde,rohan,CONTROLBAR:ConstructRohanArcherRange,basic,1
CONTROLBAR:ToggleElvenWarriorWeapons,rohan,CONTROLBAR:ConstructElvenWarriorHorde,basic,2
CONTROLBAR:PurchaseUpgradeRohanElvenWarriorForgedBlades,rohan,CONTROLBAR:ConstructElvenWarriorHorde,basic,2
CONTROLBAR:PurchaseUpgradeRohanHeavyArmor,rohan,CONTROLBAR:ConstructElvenWarriorHorde,basic,2
CONTROLBAR:FireArrowUpgrade,rohan,CONTROLBAR:ConstructElvenWarriorHorde,basic,2
CONTROLBAR:PurchaseUpgradeRohanBasicTraining,rohan,CONTROLBAR:ConstructElvenWarriorHorde,basic,2
CONTROLBAR:PurchaseTechnologyRohanFireArrows,rohan,CONTROLBAR:ConstructRohanArcherRange,basic,1
CONTROLBAR:ConstructRohanWell,rohan,,basic,0
